Property Code,Price (€),Size (m²),Floor,Address,Province,Municipality,District,Neighborhood,Latitude,Longitude,Has Lift,Price by Area,Rooms,Bathrooms,Swimming Pool,Garden,Garage,URL
106277750,925000,173,4,avenida de Burgos,Madrid,Madrid,Chamartín,Castilla,40.4768413,-3.6764701,true,5347,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106277750/
106129464,3450000,460,N/A,camino de Mesoncillos,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5229128,-3.6060282,N/A,7500,6,6,N/A,N/A,N/A,https://www.idealista.com/inmueble/106129464/
104669375,2950000,585,N/A,paseo de los Lagos,Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,La Finca,40.4145832,-3.7989602,N/A,5043,3,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/104669375/
106129947,3450000,460,N/A,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5225675,-3.6068313,N/A,7500,6,6,N/A,N/A,N/A,https://www.idealista.com/inmueble/106129947/
107207186,6000000,377,4,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,Recoletos,40.4246082,-3.6841337,true,15915,4,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/107207186/
106158684,2090000,179,4,calle del Conde de Peñalver,Madrid,Madrid,Barrio de Salamanca,Goya,40.4301167,-3.6736918,true,11676,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106158684/
97875752,2950000,430,N/A,paseo de La Habana,Madrid,Madrid,Chamartín,Nueva España,40.4667057,-3.6806596,N/A,6860,6,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/97875752/
107163811,2895000,840,N/A,Barrio Zona Pueblo,Madrid,Pozuelo de Alarcón,Zona Pueblo,Zona Pueblo,40.4487487,-3.8178364,N/A,3446,7,7,N/A,N/A,N/A,https://www.idealista.com/inmueble/107163811/
103794909,3300000,535,3,camino DE LOS JARDINES,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5080106,-3.6059516,true,6168,8,7,N/A,N/A,N/A,https://www.idealista.com/inmueble/103794909/
106987049,1750000,237,3,camino de los Jardines,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5055094,-3.6065582,true,7384,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106987049/
28013630,3800000,735,N/A,camino Alto,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5107896,-3.6197251,N/A,5170,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/28013630/
105937989,1200000,156,2,paseo de los Parques,Madrid,La Moraleja,Encinar de los Reyes,N/A,40.5141973,-3.6512046,true,7692,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105937989/
98013762,3900000,512,N/A,camino Alto,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5107137,-3.6102429,N/A,7617,8,7,N/A,N/A,N/A,https://www.idealista.com/inmueble/98013762/
97424400,3900000,512,N/A,calle del Camino Alto,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5133632,-3.6121768,N/A,7617,6,6,N/A,N/A,N/A,https://www.idealista.com/inmueble/97424400/
106702840,1335000,157,2,calle del Carril de los Caleros,Madrid,Madrid,Moncloa,Aravaca,40.459149,-3.7986654,true,8503,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106702840/
106616196,3500000,390,N/A,calle de la Nutria,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5259076,-3.6254661,N/A,8974,4,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/106616196/
106769453,2200000,345,2,calle de la Azalea,Madrid,La Moraleja,El Soto de la Moraleja,N/A,40.5222794,-3.6490022,true,6377,4,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/106769453/
